State,Court,"Court Type"
Utah,"Appellate Court","Utah Court of Appeals"
Utah,"District Court","USDC District Utah"
Utah,"District Court","USDC District Utah - Patent"
Utah,"State District Court","Utah State District Court"
Virginia,"Appellate Court","Virginia Court of Appeals"
Virginia,"Circuit Court","Virginia Circuit Court (for use in counties with no local rules)"
Virginia,"Circuit Court","Virginia Circuit Court Alexandria"
Virginia,"Circuit Court","Virginia Circuit Court Charlottesville"
Virginia,"Circuit Court","Virginia Circuit Court Chesapeake"
Virginia,"Circuit Court","Virginia Circuit Court Fairfax"
Virginia,"Circuit Court","Virginia Circuit Court Fauquier"
Virginia,"Circuit Court","Virginia Circuit Court Newport News"
Virginia,"Circuit Court","Virginia Circuit Court Norfolk"
Virginia,"Circuit Court","Virginia Circuit Court Portsmouth"
Virginia,"Circuit Court","Virginia Circuit Court Virginia Beach"
Virginia,"District Court","USDC Eastern District Virginia"
Virginia,"District Court","USDC Western District Virginia"
Virginia,"Supreme Court","Virginia Supreme Court"
Wisconsin,"Circuit Court","Wisconsin Circuit Court Kenosha"
Wisconsin,"Circuit Court","Wisconsin Circuit Court Milwaukee"
Wisconsin,"District Court","USDC Eastern District Wisconsin"
Wisconsin,"District Court","USDC Western District Wisconsin"
