State,Court,"Court Type"
Illinois,"Appellate Court","Illinois Appellate Court 1ST Judicial District"
Illinois,"Appellate Court","Illinois Appellate Court 2ND Judicial District"
Illinois,"Bankruptcy Court","USBC Northern District Illinois, Adversary Proceedings"
Illinois,"Bankruptcy Court","USBC Northern District Illinois, Chapter 11"
Illinois,"Bankruptcy Court","USBC Northern District Illinois, Chapter 13"
Illinois,"Bankruptcy Court","USBC Northern District Illinois, Chapter 7"
Illinois,"Circuit Court","Illinois Circuit Court 11th Judicial Circuit"
Illinois,"Circuit Court","Illinois Circuit Court 12th Judicial Circuit Will"
Illinois,"Circuit Court","Illinois Circuit Court 18th Judicial Circuit Dupage"
Illinois,"Circuit Court","Illinois Circuit Court 19th Judicial Circuit Lake"
Illinois,"Circuit Court","Illinois Circuit Court 1st Judicial Circuit"
Illinois,"Circuit Court","Illinois Circuit Court 20th Judicial Circuit"
Illinois,"Circuit Court","Illinois Circuit Court 22nd Judicial Circuit McHenry"
Illinois,"Circuit Court","Illinois Circuit Court Cook"
Illinois,"District Court","USDC Central District Illinois"
Illinois,"District Court","USDC Northern District Illinois"
Illinois,"District Court","USDC Northern District Illinois (Case Management Procedures - John Robert Blakey)"
Illinois,"District Court","USDC Northern District Illinois - Patent"
Illinois,"District Court","USDC Southern District Illinois "
Illinois,"Supreme Court","Illinois Supreme Court"
