State,Court,"Court Type"
California,"Superior Court","California Appellate Rules of Court for Appeals to Superior Court Appellate Division"
California,"Superior Court","California Superior Court Alameda"
California,"Superior Court","California Superior Court Alpine"
California,"Superior Court","California Superior Court Amador"
California,"Superior Court","California Superior Court Butte"
California,"Superior Court","California Superior Court Calaveras"
California,"Superior Court","California Superior Court Colusa"
California,"Superior Court","California Superior Court Contra Costa"
California,"Superior Court","California Superior Court Del Norte"
California,"Superior Court","California Superior Court El Dorado"
California,"Superior Court","California Superior Court Fresno"
California,"Superior Court","California Superior Court Fresno - Limited Jurisdiction"
California,"Superior Court","California Superior Court Glenn"
California,"Superior Court","California Superior Court Humboldt"
California,"Superior Court","California Superior Court Imperial"
California,"Superior Court","California Superior Court Inyo"
California,"Superior Court","California Superior Court Kern"
California,"Superior Court","California Superior Court Kern - Limited Jurisdiction"
California,"Superior Court","California Superior Court Kings"
California,"Superior Court","California Superior Court Kings - Limited Jurisdiction"
California,"Superior Court","California Superior Court Lake"
California,"Superior Court","California Superior Court Lassen"
California,"Superior Court","California Superior Court Los Angeles"
California,"Superior Court","California Superior Court Los Angeles - Limited Jurisdiction (Non-Collections)"
California,"Superior Court","California Superior Court Madera"
California,"Superior Court","California Superior Court Madera - Limited Jurisdiction"
California,"Superior Court","California Superior Court Marin"
California,"Superior Court","California Superior Court Mariposa"
California,"Superior Court","California Superior Court Mendocino"
California,"Superior Court","California Superior Court Merced"
California,"Superior Court","California Superior Court Modoc"
California,"Superior Court","California Superior Court Mono"
California,"Superior Court","California Superior Court Monterey"
California,"Superior Court","California Superior Court Napa"
California,"Superior Court","California Superior Court Nevada"
California,"Superior Court","California Superior Court Orange"
California,"Superior Court","California Superior Court Orange (Local Rules - Judge Franz E. Miller, Dept C14)"
California,"Superior Court","California Superior Court Orange - Limited Jurisdiction"
California,"Superior Court","California Superior Court Placer"
California,"Superior Court","California Superior Court Placer - Limited Jurisdiction"
California,"Superior Court","California Superior Court Plumas"
California,"Superior Court","California Superior Court Riverside"
California,"Superior Court","California Superior Court Riverside County - Limited Jurisdiction"
California,"Superior Court","California Superior Court Sacramento"
California,"Superior Court","California Superior Court Sacramento - Limited Jurisdiction"
California,"Superior Court","California Superior Court San Benito"
California,"Superior Court","California Superior Court San Bernardino"
California,"Superior Court","California Superior Court San Bernardino - Limited Jurisdiction"
California,"Superior Court","California Superior Court San Diego"
California,"Superior Court","California Superior Court San Diego - Limited Jurisdiction"
California,"Superior Court","California Superior Court San Francisco"
California,"Superior Court","California Superior Court San Francisco - Limited Jurisdiction"
California,"Superior Court","California Superior Court San Joaquin"
California,"Superior Court","California Superior Court San Luis Obispo"
California,"Superior Court","California Superior Court San Luis Obispo - Limited Jurisdiction"
California,"Superior Court","California Superior Court San Mateo"
California,"Superior Court","California Superior Court Santa Barbara"
California,"Superior Court","California Superior Court Santa Clara"
California,"Superior Court","California Superior Court Santa Clara - Limited Jurisdiction"
California,"Superior Court","California Superior Court Santa Cruz"
California,"Superior Court","California Superior Court Shasta"
California,"Superior Court","California Superior Court Sierra"
California,"Superior Court","California Superior Court Siskiyou"
California,"Superior Court","California Superior Court Solano"
California,"Superior Court","California Superior Court Sonoma"
California,"Superior Court","California Superior Court Stanislaus"
California,"Superior Court","California Superior Court Stanislaus - Limited Jurisdiction"
California,"Superior Court","California Superior Court Sutter"
California,"Superior Court","California Superior Court Tehama"
California,"Superior Court","California Superior Court Trinity"
California,"Superior Court","California Superior Court Tulare"
California,"Superior Court","California Superior Court Tulare - Limited Jurisdiction"
California,"Superior Court","California Superior Court Tuolumne"
California,"Superior Court","California Superior Court Ventura"
California,"Superior Court","California Superior Court Ventura - Limited Jurisdiction"
California,"Superior Court","California Superior Court Yolo"
California,"Superior Court","California Superior Court Yuba"
