State,Court,"Court Type"
Alaska,"District Court","USDC District Alaska"
Alaska,"Superior Court","Alaska Superior Court"
Hawaii,"Circuit Court","Hawaii Circuit Court Rules"
Hawaii,"District Court","USDC District Hawaii"
Washington,"District Court","USDC Eastern District Washington"
Washington,"District Court","USDC Western District Washington"
Washington,"Family Court","Washington Superior Court Benton - Family"
Washington,"Family Court","Washington Superior Court King - Family"
Washington,"Superior Court","Washington Superior Court King"
Washington,"Supreme Court","Washington Supreme Court"
