State,Court,"Court Type"
Alaska,"District Court","USDC District Alaska"
Alaska,"Superior Court","Alaska Superior Court"
Hawaii,"Appellate Court","Hawaii Intermediate Court of Appeals and Appellate Mediation Program"
Hawaii,"Circuit Court","Hawaii Circuit Court Rules"
Hawaii,"District Court","USDC District Hawaii"
Hawaii,"State District Court","Hawaii District Court Rules"
Washington,"Appellate Court","Washington Court of Appeals Division I"
Washington,"Appellate Court","Washington Court of Appeals Division II"
Washington,"Appellate Court","Washington Court of Appeals Division III"
Washington,"District Court","USDC Eastern District Washington"
Washington,"District Court","USDC Western District Washington"
Washington,"Family Court","Washington Superior Court Benton - Family"
Washington,"Family Court","Washington Superior Court King - Family"
Washington,"Superior Court","Washington Superior Court Benton"
Washington,"Superior Court","Washington Superior Court Clark"
Washington,"Superior Court","Washington Superior Court Island"
Washington,"Superior Court","Washington Superior Court King"
Washington,"Superior Court","Washington Superior Court Kitsap"
Washington,"Superior Court","Washington Superior Court Pierce"
Washington,"Superior Court","Washington Superior Court Skagit"
Washington,"Superior Court","Washington Superior Court Snohomish"
Washington,"Superior Court","Washington Superior Court Spokane"
Washington,"Superior Court","Washington Superior Court Thurston"
Washington,"Superior Court","Washington Superior Court Walla Walla"
Washington,"Superior Court","Washington Superior Court Whatcom"
Washington,"Superior Court","Washington Superior Court Yakima"
Washington,"Supreme Court","Washington Supreme Court"
